#stellar mass function redshift 0 0.5 1 2 3 4 5 6 7
7.0625 -1.0173612234624851     -1.0439590551870466    -1.0801842783189166     -1.1398484591080322    -1.236616733434889       -1.383328344412976       -1.6074618290246052     -1.8417527887946825     -2.166630196435768
7.1875 -1.059757863768524      -1.0977274483677888    -1.1280899441770866     -1.1784364869142603    -1.2615435953999243      -1.3961473210135462      -1.6151402260567675     -1.8602961603637285     -2.198904809206346
7.3125 -1.1279395928403375     -1.1614617373161953    -1.1821112222356318     -1.2248182246356747    -1.3071711139388549      -1.4300775188179629      -1.6383168909802333     -1.88540040582728       -2.236509265834579
7.4375 -1.197967851132237      -1.228235012793749     -1.2435829293649288     -1.276512245609743     -1.360309948592389       -1.482490368573325       -1.6876268758041204     -1.9231107929279883     -2.2697038459493646
7.5625 -1.2674265537427327     -1.2942141943221004    -1.3058571873727074     -1.3384705370842231    -1.4218589947560625      -1.5502232117794377      -1.7508821419787035     -1.9788444335483852     -2.325824972671769
7.6875 -1.3333794827753571     -1.358148060293746     -1.3697693601045349     -1.4046270365754339    -1.487621785913011       -1.6158593396092757      -1.8240227389339025     -2.063232860547948      -2.40329860467123
7.8125 -1.4017150713000046     -1.4203127787568257    -1.429456481422392      -1.4687356114489032    -1.5577959042200766      -1.6913538273590116      -1.9025901671815084     -2.1545840193366876     -2.5096971305894376
7.9375 -1.468019499772964      -1.4815937602922238    -1.491814008425783      -1.5371176086133824    -1.629798018780052       -1.7724026379808289      -1.9927185525209092     -2.2474918945891758     -2.6181436213568454
8.0625 -1.5374915066554076     -1.5425950494053144    -1.5504896463481705     -1.5985635672292484    -1.7004601646121453      -1.8519093406425586      -2.0818381949789933     -2.355721857165884      -2.729683551100297
8.1875 -1.600965642062034      -1.6054189864002666    -1.61119445718436       -1.6610886233134612    -1.7729223908241796      -1.929255906005501       -2.1823272179429694     -2.457198792122707      -2.8520078461770004
8.3125 -1.6706290044402525     -1.6697323822202028    -1.6724061045278997     -1.7194963678622748    -1.8385254816890946      -2.0096393031410495      -2.276195986603584      -2.5688691320280492     -2.968974667769538
8.4375 -1.7375154210144241     -1.7308807329021638    -1.7340915322465482     -1.7863342556538004    -1.9110283988075796      -2.0900402392805226      -2.3691774737997537     -2.6745504504745172     -3.0883251427349996
8.5625 -1.7976308672826882     -1.791752842811268     -1.7930912376957224     -1.8501891007111715    -1.9799672963866122      -2.169980555225914       -2.461152841343762      -2.779931075502032      -3.229697825097698
8.6875 -1.8591512672365778     -1.858409118521671     -1.8590427843656312     -1.9207961447437798    -2.0637004400528443      -2.259430236086525       -2.5638085074874084     -2.895672347231832      -3.341199393833397
8.8125 -1.9199409219587686     -1.9218844216319784    -1.9214025467829239     -1.9899689488936427    -2.140399928047119       -2.3589017831642596      -2.670207469463735      -3.035634959834288      -3.474748431639105
8.9375 -1.9788444335483852     -1.985201426625443     -1.9908496420404036     -2.0578058504346535    -2.2225481436583334      -2.4544620832225457      -2.7940672130153956     -3.13235706147492       -3.6265617572419724
9.0625 -2.0357226796381824     -2.0444318992854407    -2.055346965378953      -2.1275151700267565    -2.3023464497254444      -2.5471770087859085      -2.896763083213882      -3.2671125696254606     -3.7837728691920685
9.1875 -2.0839337429147164     -2.0990231917139965    -2.1214117789220666     -2.2061548727487255    -2.385748675888506       -2.6520640520534697      -3.022552067995677      -3.414395132741012      -3.994538542536567
9.3125 -2.1233395997631437     -2.161878789487777     -2.1838228147197984     -2.282034664060584     -2.482742873528087       -2.7521849612605154      -3.1386650079803826     -3.5789518460580076     -4.1880736918734565
9.4375 -2.17580709964483       -2.211832738100048     -2.2434494602066186     -2.356822996798338     -2.5643161574363886      -2.850123702302449       -3.273132589527787      -3.7347302836003795     -4.402277249799912
9.5625 -2.2092834602230718     -2.258654766159164     -2.3048778383273616     -2.433668954688529     -2.6615437532607205      -2.960988152121791       -3.417101026116937      -3.933989407708087      -4.626073511567274
9.6875 -2.2521288996131363     -2.3125143434966584    -2.3605667106519657     -2.5076118576998336    -2.7635535377920872      -3.0836817426280207      -3.5613631966925654     -4.053019284705867      -4.9419950626326
9.8125 -2.28223359275262       -2.3424420112244926    -2.4061418345303496     -2.57195990346965      -2.8539001998547056      -3.2109125228582145      -3.719339073969886      -4.399372259156505      -5.274433522548205
9.9375 -2.3100795932560114     -2.373247742411055     -2.4442620281859533     -2.6352958041781114    -2.9525245490006964      -3.3369156305308585      -3.964803355122306      -4.518558666875713      -5.3201910131088805
10.0625 -2.347191516088187      -2.3972638190641264    -2.46703380978872       -2.7076426101666136    -3.0448796585670683      -3.4859116353257322      -4.104171807153247      -4.962679661492451      -5.797312267828542
10.1875 -2.348786297427631      -2.406877652675776     -2.493396583927073      -2.7557879982178934    -3.1648549756438182      -3.675096389555716       -4.345014596833912      -5.213735682194593      -6.274433522548205
10.3125 -2.3325743960228316     -2.401956748004082     -2.503176848702294      -2.8297642916096803    -3.2869907176124036      -3.820351251817115       -4.74295460550595       -5.429335482533948      -6.575463518212186
10.4375 -2.330098930577423      -2.4200667445073356    -2.550567558104701      -2.915832506605186     -3.4464184583242283      -4.055635524436467       -4.783071828713933      -5.797312267828542      -6.575463518212186
10.5625 -2.400067686818156      -2.5160137057042253    -2.656647127851807      -3.0500299647833664    -3.604187669474081       -4.280997292050594       -5.345014596833912      -5.876493513876167     -10
10.6875 -2.5311589990362715     -2.6445654038020816    -2.795722767035446      -3.2090405609862134    -3.825727202643125       -4.514765677858574       -5.730365478197929      -6.274433522548205     -10
