#log(Mbar) log(num density) central_flag
#centrals
10.5067 -5.80993 1
10.7115 -5.52883 1
10.8992 -5.08986 1
11.1039 -4.73274 1
11.3019 -4.39902 1
11.5068 -4.29336 1
11.7085 -4.43331 1
11.9136 -4.57327 1
12.0914 -4.78929 1
12.3170 -4.91751 1
#satellites
9.00147 -3.07017 0
9.13134 -3.11670 0
9.25096 -3.15740 0
9.47309 -3.22130 0
9.70208 -3.30272 0
9.94807 -3.26715 0
10.1701 -3.22579 0
10.3102 -3.22551 0
10.4094 -3.28380 0
10.4948 -3.35966 0
10.6522 -3.59327 0
10.8984 -3.98460 0
11.1344 -4.28823 0
11.3157 -4.53934 0
11.5003 -4.74951 0
11.6679 -5.05328 0
11.8048 -5.35126 0
11.9382 -5.59661 0
12.0682 -5.74256 0
12.1948 -5.99962 0
