#boost_burst=3
#redsshift OmegaHI           H2_Density         SFR_density       SM_density
17.0902      -11.8218301661 0.570430482988 -8.58991879581 -2.12545504057 
16.7999      -11.5738111531 0.842089361317 -8.12763661689 -1.52678821871
16.514299    -11.2820769341 1.1251962666 -7.85114703754 -1.13778557802
16.233299    -10.9960477771 1.41429008584 -7.56324599623 -0.800048378294
15.9568      -10.4769950192 1.7326001644 -7.25572722927 -0.472885254869
15.6847      -10.3136490485 1.97805930951 -6.98464418169 -0.169099432206
15.417       -10.1735817283 2.16420821376 -6.77480743901 0.0945755888622
15.1536      -9.83689842754 2.38652819471 -6.56962100212 0.337280324646
14.8944      -9.67094834315 2.5968336137 -6.35401966708 0.572749897412
14.6394      -9.45532395836 2.77476848194 -6.11330851879 0.814989306217
14.3885      -9.32096309056 2.95408196209 -5.95391330552 1.02781720962
14.1416      -9.12767975571 3.13539898228 -5.78324541362 1.22851040287
13.8986      -8.96909308614 3.30265279512 -5.5961693005 1.42817226759
13.6596      -8.81696851193 3.45732735718 -5.44110422232 1.6156487515
13.4243      -8.66070458644 3.60397609335 -5.29165998802 1.79356805819
13.1929      -8.51110988314 3.75221792277 -5.13140606472 1.96921264104
12.9652      -8.3769583175 3.8977027546 -4.98445738157 2.13884416607
12.7411      -8.21827760524 4.0405722487 -4.8359938123 2.30497659725
12.5206      -8.08458677618 4.17257413681 -4.68857457761 2.4686352337
12.3037      -7.95481073513 4.30421825268 -4.56022128381 2.62462695523
12.0902      -7.81861436436 4.42861841054 -4.42756177081 2.77682947139
11.8802      -7.69961813422 4.54816914866 -4.30153913617 2.92446386086
11.6735      -7.57458423467 4.66277506621 -4.18280794549 3.06685113059
11.4702      -7.44764660126 4.77344404378 -4.06203400464 3.20610747868
11.2701      -7.33739776994 4.87837566606 -3.951149633 3.34063155594
11.0732      -7.22378223913 4.97997211534 -3.84074686695 3.47154738086
10.8795      -7.11684584983 5.07834472804 -3.74038428667 3.59736551348
10.6889      -7.01335163263 5.17318708035 -3.64425866784 3.71836189052
10.5013      -6.90992438357 5.26447783702 -3.54930378279 3.83568144617
10.3168      -6.8151426624 5.35237996514 -3.45889714641 3.94919413981
10.1352      -6.71553284298 5.43690379956 -3.36987513197 4.05952509709
9.9565496    -6.62033346985 5.51843500694 -3.28630291316 4.16629814661
9.7807503    -6.53300330049 5.59694953234 -3.2061515471 4.2695571813
9.6077805    -6.44641543838 5.67212831643 -3.12585086874 4.37019746801
9.4375696    -6.36250638369 5.74398484073 -3.05160030679 4.46767842513
9.2700996    -6.27927806883 5.8126104192 -2.97918443053 4.56221467603
9.10532      -6.20031261793 5.8783934186 -2.91033724047 4.65385166113
8.9431696    -6.12131091299 5.94150458758 -2.84374000241 4.74276817283
8.7836304    -6.04451253654 6.00207044154 -2.77904368902 4.82916421741
8.6266499    -5.97158231007 6.06018965794 -2.71699172534 4.91306333006
8.4721899    -5.89964523462 6.1158728055 -2.65846613857 4.99442448091
8.3202105    -5.8298131177 6.16889237193 -2.60201703084 5.07337461012
8.1706696    -5.76065006393 6.21971255319 -2.54744207025 5.15000689931
8.0235205    -5.69423940141 6.26825407736 -2.49578362348 5.22434970699
7.8787398    -5.6305795036 6.31475289563 -2.44668530725 5.29644359119
7.73628      -5.5678892328 6.35933043731 -2.40016134397 5.36621490742
7.5960999    -5.50736987418 6.40187969778 -2.35346219581 5.43417905774
7.45818      -5.44811502987 6.44252027321 -2.30920698775 5.50024030799
7.3224602    -5.38947865184 6.48154120721 -2.26858298488 5.56422641816
7.18893      -5.33394405624 6.51886417783 -2.22987780541 5.62620395391
7.0575399    -5.27911378218 6.55445994805 -2.19082352689 5.68655048142
6.9282498    -5.2259832972 6.58896210461 -2.15434736649 5.74519899549
6.8010402    -5.1733493166 6.62184173196 -2.12000414471 5.80212638613
6.6758699    -5.12313969563 6.65363408518 -2.08525537826 5.85762086706
6.5527101    -5.07380437783 6.68401089282 -2.05231006503 5.91170805391
