#log10(Mstar/Msun) age_median[Gyr] age_84th[Gyr] age_16th[Gyr]
8.1 7.064083576202393 9.315444946289062 4.368185520172119
8.299999999999999 6.9152679443359375 9.315444946289062 4.368185520172119
8.499999999999998 6.609787464141846 9.103187561035156 4.177640914916992
8.699999999999998 6.131843566894531 8.881958961486816 3.789048910140991
8.899999999999997 5.630176544189453 8.532782554626465 3.5910565853118896
9.099999999999996 5.104867935180664 8.033724784851074 3.1878128051757812
9.299999999999995 4.741663455963135 7.353921413421631 3.1878128051757812
9.499999999999995 4.556197166442871 6.9152679443359375 2.9826242923736572
9.699999999999994 4.556197166442871 6.609787464141846 3.1878128051757812
9.899999999999993 4.741663455963135 6.609787464141846 3.1878128051757812
10.099999999999993 5.104867935180664 7.064083576202393 3.3906333446502686
10.299999999999992 5.630176544189453 8.411661148071289 3.984586715698242
10.499999999999991 6.76383638381958 9.41828727722168 4.556197166442871
10.69999999999999 7.494968414306641 9.900928497314453 4.924558639526367
10.89999999999999 8.288126945495605 10.333928108215332 5.282588005065918
11.099999999999989 8.993711471557617 10.571615219116211 6.131843566894531
11.299999999999988 9.51898193359375 10.721418380737305 6.76383638381958
11.499999999999988 9.808502197265625 10.864580154418945 7.633448123931885
11.699999999999987 10.079849243164062 10.933756828308105 8.162152290344238
11.899999999999986 10.333928108215332 11.001374244689941 8.76790714263916
12.099999999999985 10.333928108215332 11.001374244689941 8.651524543762207
12.299999999999985 10.494150161743164 11.195155143737793 8.76790714263916
12.499999999999984 9.210421562194824 10.333928108215332 6.609787464141846
