#HI and H2 MF
5.1 -1.88501269727  -1.68942424265
5.3 -1.87399267748  -1.66949907798
5.5 -1.8377640967   -1.59173859025
5.7 -1.79437265564  -1.49598153691
5.9 -1.74716622204  -1.42555001281
6.1 -1.69874424735  -1.33589503505
6.3 -1.64149563419  -1.30815829412
6.5 -1.57715785315  -1.3641193435
6.7 -1.50603362722  -1.44113497604
6.9 -1.42383514509  -1.54145958316
7.1 -1.34102058489  -1.65798754904
7.3 -1.26959914589  -1.77342992072
7.5 -1.2174322514   -1.88064451478
7.7 -1.18927678616  -1.97453824515
7.9 -1.19185682522  -2.04814785349
8.1 -1.23906633128  -2.09937493968
8.3 -1.31935640189  -2.13523355197
8.5 -1.44360435853  -2.15510544936
8.7 -1.59763992242  -2.17886102255
8.9 -1.75537294609  -2.20865547053
9.1 -1.90378745409  -2.2520438189
9.3 -2.04506369352  -2.3840649073
9.5 -2.19992563927  -2.63663119352
9.7 -2.40986682332  -2.98838425437
9.9 -2.69454279413  -3.40118559992
10.1 -3.0488012252   -3.87976299844
10.3 -3.49855013362  -4.30682705155
10.5 -3.94579912621  -4.76674627616
10.7 -4.52431099576  -5.11682566919
10.9 -5.0237086452   -5.43716082005
11.1 -5.60349224181  -5.82534099143
11.3 -5.87649351388  -6.30246224615
11.5 -6.30246224615  -6.4785535052
11.7 -6.77958350087  -6.30246224615
