#From Shankar et al. (2009; ApJ..690..20)
#z log10(L_bol/erg s^-1) log(L_bol*Phi/erg s^-1 Mpc^3 dex) +err -err
0.10 4.292913443830570941e+01 3.958666666666666600e+01 3.984000000000000341e+01 3.930666666666667197e+01
0.10 4.337053406998158778e+01 3.953333333333333144e+01 3.965333333333333599e+01 3.942666666666666941e+01
0.10 4.334666666666667112e+01 3.937333333333333485e+01 3.944000000000000483e+01 3.933333333333333570e+01
0.10 4.374666666666666970e+01 3.957333333333333769e+01 3.977333333333333343e+01 3.933333333333333570e+01
0.10 4.396957642725598703e+01 3.974666666666666970e+01 3.980000000000000426e+01 3.970666666666667055e+01
0.10 4.397281767955801257e+01 4.003999999999999915e+01 4.012000000000000455e+01 3.998666666666666458e+01
0.10 4.441421731123388383e+01 3.998666666666666458e+01 4.014666666666666828e+01 3.982666666666666799e+01
0.10 4.459057090239410570e+01 3.994666666666666544e+01 4.001333333333333542e+01 3.989333333333333798e+01
0.10 4.459278084714549095e+01 4.014666666666666828e+01 4.025333333333333741e+01 4.006666666666666998e+01
0.10 4.472714548802946410e+01 4.030666666666667197e+01 4.046666666666666856e+01 4.010666666666666913e+01
0.10 4.485561694290976220e+01 3.993333333333333712e+01 4.006666666666666998e+01 3.982666666666666799e+01
0.10 4.490055248618784844e+01 4.000000000000000000e+01 4.018666666666666742e+01 3.988000000000000256e+01
0.10 4.512346224677716577e+01 4.017333333333333201e+01 4.028000000000000114e+01 4.007999999999999829e+01
0.10 4.523322283609576289e+01 4.010666666666666913e+01 4.024000000000000199e+01 3.998666666666666458e+01
0.10 4.529539594843462424e+01 3.973333333333333428e+01 3.990666666666666629e+01 3.956000000000000227e+01
0.10 4.551830570902394157e+01 3.990666666666666629e+01 4.000000000000000000e+01 3.978666666666666885e+01
0.10 4.575977900552486233e+01 3.976000000000000512e+01 3.994666666666666544e+01 3.957333333333333769e+01
0.10 4.589355432780847366e+01 3.986666666666666714e+01 3.997333333333333627e+01 3.973333333333333428e+01
0.10 4.591462246777163614e+01 3.977333333333333343e+01 3.984000000000000341e+01 3.966666666666667140e+01
0.10 4.589031307550644811e+01 3.957333333333333769e+01 3.966666666666667140e+01 3.950666666666666771e+01
0.10 4.655513812154696041e+01 3.974000000000000199e+01 3.994666666666666544e+01 3.953333333333333144e+01
0.10 4.622018416206261548e+01 3.942666666666666941e+01 3.994666666666666544e+01 3.865333333333333599e+01
0.10 4.672508287292817641e+01 3.912000000000000455e+01 3.932000000000000028e+01 3.873333333333333428e+01
0.10 4.696449355432780948e+01 3.878666666666666885e+01 3.910666666666666913e+01 3.849333333333333229e+01
0.10 4.710342541436464359e+01 3.935999999999999943e+01 3.958666666666666600e+01 3.884000000000000341e+01
0.10 4.788825046040516042e+01 3.838666666666667027e+01 3.889333333333333798e+01 3.782666666666666799e+01
0.10 4.633156537753222892e+01 3.950666666666666771e+01 3.961333333333333684e+01 3.938666666666667027e+01
0.50 4.334444444444442013e+01 3.969333333333333513e+01 3.980000000000000426e+01 3.961333333333333684e+01
0.50 4.365555555555552303e+01 4.032000000000000028e+01 4.058666666666666600e+01 4.002666666666667084e+01
0.50 4.394444444444441444e+01 4.029333333333333655e+01 4.032000000000000028e+01 4.026666666666666572e+01
0.50 4.395555555555552019e+01 4.000000000000000000e+01 4.005333333333333456e+01 3.996000000000000085e+01
0.50 4.429999999999995453e+01 4.045333333333333314e+01 4.070666666666667055e+01 4.020000000000000284e+01
0.50 4.458888888888884594e+01 4.039999999999999858e+01 4.046666666666666856e+01 4.033333333333333570e+01
0.50 4.458888888888884594e+01 4.017333333333333201e+01 4.021333333333333826e+01 4.014666666666666828e+01
0.50 4.487777777777773736e+01 4.026666666666666572e+01 4.038666666666667027e+01 4.010666666666666913e+01
0.50 4.495555555555550598e+01 4.054666666666666686e+01 4.071999999999999886e+01 4.032000000000000028e+01
0.50 4.498888888888884452e+01 4.014666666666666828e+01 4.021333333333333826e+01 4.007999999999999829e+01
0.50 4.505555555555550740e+01 4.022666666666666657e+01 4.028000000000000114e+01 4.017333333333333201e+01
0.50 4.512222222222217738e+01 4.033333333333333570e+01 4.037333333333333485e+01 4.028000000000000114e+01
0.50 4.525555555555550313e+01 4.034666666666667112e+01 4.039999999999999858e+01 4.028000000000000114e+01
0.50 4.509999999999995168e+01 3.994666666666666544e+01 4.003999999999999915e+01 3.984000000000000341e+01
0.50 4.541111111111106169e+01 3.984000000000000341e+01 3.997333333333333627e+01 3.970666666666667055e+01
0.50 4.521111111111106595e+01 4.067999999999999972e+01 4.075999999999999801e+01 4.064000000000000057e+01
0.50 4.523333333333328454e+01 4.048000000000000398e+01 4.056000000000000227e+01 4.042666666666666941e+01
0.50 4.552222222222216885e+01 4.050666666666666771e+01 4.054666666666666686e+01 4.042666666666666941e+01
0.50 4.567777777777772030e+01 4.043999999999999773e+01 4.052000000000000313e+01 4.037333333333333485e+01
0.50 4.561111111111105743e+01 4.034666666666667112e+01 4.038666666666667027e+01 4.029333333333333655e+01
0.50 4.552222222222216885e+01 4.016000000000000369e+01 4.021333333333333826e+01 4.005333333333333456e+01
0.50 4.567777777777772030e+01 4.069333333333333513e+01 4.089333333333333798e+01 4.053333333333333144e+01
0.50 4.583333333333327886e+01 4.058666666666666600e+01 4.070666666666667055e+01 4.053333333333333144e+01
0.50 4.618888888888882605e+01 4.060000000000000142e+01 4.071999999999999886e+01 4.039999999999999858e+01
0.50 4.589999999999994174e+01 4.041333333333333400e+01 4.045333333333333314e+01 4.034666666666667112e+01
