#S N(>S) (for all) n(>s)[deg^-2] errup erdn (secure) n(>s)[deg^-2] errup erdn
0.35  54 31000 43000 7000     14000 15000 3000
0.56  47 14000 13000 3000     8800 6000 1800
0.89  38 7600 2500 1300       5400 1900 1100
1.41  30  5500 1800 1000      3700 1300 800
2.24  19  2900 1000 700       2200 800  600
3.55  10  1500 600 500        1200 600 400
