#frequency ebl ebl1 ebl2 type
489860128000.0 1.52160352959e-07 1.1266782944e-10 1.1266782944e-10 2.0
503350768000.0 1.33790634134e-07 1.3087119968e-10 1.3087119968e-10 2.0
516841408000.0 1.17033568428e-07 1.4471559424e-10 1.4471559424e-10 2.0
530631840000.0 1.02173160792e-07 1.59189552e-10 1.59189552e-10 2.0
544122480000.0 8.91871156968e-08 1.741191936e-10 1.741191936e-10 2.0
557912912000.0 7.70533522763e-08 1.8411126096e-10 1.8411126096e-10 2.0
571403552000.0 6.69456401523e-08 1.999912432e-10 1.999912432e-10 2.0
584894192000.0 5.80273527883e-08 2.3980661872e-10 2.3980661872e-10 2.0
598684624000.0 5.00739819514e-08 3.292765432e-10 3.292765432e-10 2.0
612175264000.0 4.33848609597e-08 5.3871423232e-10 5.3871423232e-10 2.0
625665904000.0 3.6294879091e-08 9.697821512e-10 9.697821512e-10 2.0
639456336000.0 2.89226100773e-08 1.80326686752e-09 1.80326686752e-09 2.0
4.28274285714e+13 1.7e-09 5e-10 5e-10 0.0
1.99861333333e+13 3.3e-09 1.3e-09 1.3e-09 0.0
2.49826666667e+13 5e-10 1.5e-10 1.5e-10 0.0
4.99653333333e+12 2.81e-08 8.8e-09 8.8e-09 1.0
2.99792e+12 2.46e-08 1.05e-08 1.05e-08 1.0
6.11820408163e+13 2.2e-08 1.2e-08 1.2e-08 1.0
8.32755555556e+13 5.4e-09 5.4e-10 5.4e-10 0.0
6.66204444444e+13 3.5e-09 3.5e-10 3.5e-10 0.0
5.16882758621e+13 3.6e-09 3.6e-10 3.6e-10 0.0
3.7474e+13 2.6e-09 2.6e-10 2.6e-10 0.0
2.14137142857e+12 2.50000000131e-08 8e-09 8e-09 1.0
1.24913333333e+12 1.30100584385e-08 3e-09 3e-09 1.0
1.199168e+12 8.62059290053e-09 5.9e-10 5.9e-10 2.0
856548571429.0 7.16528886506e-09 3.4e-10 3.4e-10 2.0
599584000000.0 5.1795981881e-08 2e-10 2e-10 2.0
1.99861333333e+13 1.9e-09 5e-10 5e-10 0.0
1.24913333333e+13 2.86e-09 1.6e-10 1.9e-10 0.0
4.28274285714e+12 6.6e-09 6e-10 7e-10 0.0
1.8737e+12 1.46e-08 2.9e-09 7.1e-09 0.0
4.28274285714e+12 1.109e-08 0.0 2e-08 0.0
2.99792e+12 1.261e-08 1.74e-09 8.31e-09 0.0
1.8737e+12 1.363e-08 8.5e-10 3.53e-09 0.0
1.8737e+13 2.2e-09 2e-10 2e-10 0.0
4.61218461538e+12 1.24528984615e-08 1.06080246154e-08 1.06080246154e-08 1.0
