#From Magnelli et al. (2019) - DOI 10.3847/1538-4357/ab1912 
#raw number counts
#N in units of number per deg^2.
#S N(>s) err
 0.8 96   19
 0.9 76   21
 1.0 55   19
 1.1 38   17
 1.2 25   15
 1.3 14   13
#Corrected number counts
 0.4     353 147
 0.5      208 77
 0.6      129 45
 0.7      87 32
 0.8      59 24
 0.9      37 19
 1.0      23 15
