#S/mJy N(>S)/area[deg^-2] err_up_poiss err_dn_poiss err_std
 3.5        1012.3 19.6  19.2   19.6
 4.5        508.0 12.3  12.0   9.7
 5.5        271.9 8.5  8.2   6.5
 6.5        151.8 6.2  6.0   4.3
 7.5        85.3 4.7  4.4   3.1
 8.5        47.1 3.6  3.3   2.3
 9.5        26.4 2.8  2.5   1.6
 10.5       14.5 2.2  1.9   1.2
 11.5       8.7 1.8  1.5   0.8
 12.5       5.5 1.5  1.2   0.6
 13.5       3.2 1.2  0.9   0.5
 14.5       2.4 1.1  0.8   0.3
 15.5       1.8 1.0  0.7   0.2
