#From Mauch & Salder (2007) for star-forming galaxies
#Assumed h0=0.7
#log10(L1p4/W Hz^-1) log(phi) err_up err_dn
 20.0      -2.90 0.20  0.39
 20.4      -2.56 0.09  0.11
 20.8      -2.89 0.04  0.05
 21.2      -2.85 0.03  0.03
 21.6      -3.05 0.02  0.02
 22.0      -3.31 0.01  0.01
 22.4      -3.79 0.02  0.02
 22.8      -4.45 0.02  0.02
 23.2      -5.36 0.04  0.05
 23.6      -6.12 0.11  0.14 
