# log(L_1.4GHz [W/Hz]), log(Phi [Mpc^-3 dex^-1]), Err inf log(Phi [Mpc^-3 dex^-1]), Err sup log(Phi [Mpc^-3 dex^-1]), reference
24.00 -4.58 0.09 0.09 Bonato2020
24.83 -5.22 0.14 0.14 Bonato2020
25.67 -5.65 0.21 0.21 Bonato2020
26.50 -6.24 0.36 0.36 Bonato2020
24.2 -5.04 0.04 0.04 Butler2019
24.6 -5.13 0.03 0.03 Butler2019
25.0 -5.45 0.04 0.04 Butler2019
25.4 -5.7 0.06 0.05 Butler2019
25.8 -6.01 0.08 0.07 Butler2019
26.2 -6.28 0.12 0.09 Butler2019
26.6 -6.42 0.14 0.11 Butler2019
27.0 -7.06 0.37 0.2 Butler2019
22.86 -4.11 0.12 0.17 Smolcic2017
23.34 -4.07 0.03 0.04 Smolcic2017
24.05 -4.42 0.05 0.06 Smolcic2017
24.8 -5.19 0.09 0.11 Smolcic2017
25.79 -5.69 0.2 0.22 Smolcic2017
26.76 -6.17 0.37 0.45 Smolcic2017
23.21 -4.25 0.13 0.13 Ceraj2018
24.01 -4.66 0.06 0.06 Ceraj2018
24.81 -5.35 0.08 0.08 Ceraj2018
25.61 -5.58 0.12 0.12 Ceraj2018
26.41 -6.06 0.3 0.3 Ceraj2018
27.21 -6.36 0.53 0.53 Ceraj2018
23.59 -4.63 0.18 0.15 Padovani2015
24.09 -4.9 0.22 0.18 Padovani2015
24.59 -5.01 0.25 0.2 Padovani2015
25.09 -5.86 0.96 0.52 Padovani2015
25.59 -5.56 0.54 0.37 Padovani2015
26.09 -5.56 0.54 0.37 Padovani2015
