#log10(Mstar/Msun) log10(phi[Mpc^-3 dex^-1) err_dn err_up
8.25    -2.00 0.12 0.09
8.75    -2.38 0.07 0.06
9.25    -2.89 0.10 0.08
9.75    -3.35 0.13 0.10
10.25   -4.04 0.19 0.14
10.75   -4.87 0.43 0.23
11.25   -5.80 2.55 0.54
11.75   -5.87 5.00 0.55
