# stellar mass function at 0.2<z<4 from Muzzin etal 2013, ApJ 777, 18
# 1/Vmax Method; stellar mass function; ALL, QUIESCENT, and STAR-FORMING galaxies (Fig.6)
# data obtained from authors by Michelle Furlong
# 
# use UltraVISTA DR1 data release, 96,000 gals with K_AB<23.4 in COSMOS field
# photom from GALEX, CFHT/Subaru, Spitzer IRAC
# photo-z's from EAZY
# stellar masses from FAST using BC03 SPS, exp SFR histories, solar metallicity, Calzetti extinction
# assume Kroupa (2001) IMF (they assume M(Kroupa) = M(Chabier) + 0.04dex)
#
# Ho=70., Omega_lambda=0.7, Omega_matter=0.3
#
# [Phi] = number / Mpc^3 / dex
# EU_logPhi,EL_logPhi = upper and lower 1-sigma total random error of logPhi, 
# including Poisson error, cosmic variance, and uncertainties from photometric 
# redshift errors.
#
# A = all galaxies, Q = quiescent galaxies, SF = star-forming galaxies
#
#                       A	 A        A	   Q	    Q	     Q	     SF	       SF       SF
#  zlow zup Mstar    E_Mstar  logPhi    EU_Phi   EL_Phi	logPhi    EU_Phi   EL_Phi  logPhi    EU_Phi   EL_Phi
#
# 0.2<z<0.5
 0.5 1.0  11.410    0.049   -3.704    0.094    0.076   -3.753    0.100    0.079   -4.672    0.176    0.185
 0.5 1.0  11.312    0.049   -3.439    0.066    0.061   -3.508    0.065    0.065   -4.275    0.138    0.124
 0.5 1.0  11.214    0.049   -3.221    0.060    0.054   -3.330    0.062    0.056   -3.873    0.079    0.074
 0.5 1.0  11.117    0.049   -3.015    0.050    0.049   -3.140    0.051    0.051   -3.619    0.065    0.064
 0.5 1.0  11.019    0.049   -2.910    0.047    0.043   -3.108    0.055    0.047   -3.346    0.054    0.053
 0.5 1.0  10.921    0.049   -2.748    0.041    0.040   -2.969    0.044    0.043   -3.147    0.047    0.046
 0.5 1.0  10.824    0.049   -2.631    0.039    0.040   -2.886    0.041    0.044   -2.984    0.044    0.041
 0.5 1.0  10.726    0.049   -2.549    0.039    0.036   -2.864    0.044    0.042   -2.837    0.041    0.039
 0.5 1.0  10.628    0.049   -2.500    0.036    0.035   -2.846    0.037    0.038   -2.760    0.039    0.037
 0.5 1.0  10.530    0.049   -2.514    0.035    0.034   -2.899    0.039    0.037   -2.745    0.037    0.035
 0.5 1.0  10.433    0.049   -2.417    0.033    0.033   -2.860    0.037    0.037   -2.612    0.034    0.033
 0.5 1.0  10.335    0.049   -2.402    0.033    0.033   -2.914    0.041    0.039   -2.561    0.033    0.033
 0.5 1.0  10.237    0.049   -2.367    0.032    0.032   -2.897    0.035    0.045   -2.519    0.033    0.034
 0.5 1.0  10.139    0.049   -2.419    0.033    0.031   -3.037    0.037    0.041   -2.539    0.035    0.032
 0.5 1.0  10.042    0.049   -2.348    0.032    0.030   -3.043    0.039    0.038   -2.446    0.033    0.031
 0.5 1.0   9.944    0.049   -2.307    0.030    0.030   -3.066    0.040    0.060   -2.390    0.031    0.030
 0.5 1.0   9.846    0.049   -2.272    0.030    0.029   -3.212    0.054    0.044   -2.325    0.029    0.030
 0.5 1.0   9.748    0.049   -2.234    0.029    0.031   -3.222    0.042    0.047   -2.281    0.029    0.030
 0.5 1.0   9.651    0.049   -2.260    0.029    0.029   -3.316    0.045    0.050   -2.300    0.030    0.030
 0.5 1.0   9.553    0.049   -2.201    0.030    0.029   -3.376    0.057    0.052   -2.231    0.030    0.029
 0.5 1.0   9.455    0.049   -2.151    0.029    0.030   -3.271    0.043    0.097   -2.185    0.029    0.029
 0.5 1.0   9.358    0.049   -2.129    0.028    0.029   -3.289    0.047    0.075   -2.160    0.028    0.029
 0.5 1.0   9.260    0.049   -2.144    0.029    0.036   -3.326    0.053    0.112   -2.173    0.029    0.035
 0.5 1.0   9.162    0.049   -2.090    0.031    0.034   -3.255    0.061    0.113   -2.121    0.030    0.033
 0.5 1.0   9.064    0.049   -2.068    0.030    0.031   -3.320    0.090    0.091   -2.092    0.030    0.031
 0.5 1.0   8.967    0.049   -2.075    0.040    0.036   -3.264    0.109    0.131   -2.104    0.042    0.037
# 1.0<z<1.5
 1.0 1.5  11.793    0.049   -5.881    0.629    0.827   -5.881    0.566    0.789   -99       -99      -99
 1.0 1.5  11.694    0.049   -5.182    0.305    0.346   -5.279    0.336    0.333   -5.881    0.522    0.769
 1.0 1.5  11.596    0.049   -4.650    0.165    0.193   -4.677    0.170    0.201   -5.881    0.621    0.806
 1.0 1.5  11.498    0.049   -4.434    0.146    0.118   -4.538    0.167    0.135   -5.103    0.233    0.252
 1.0 1.5  11.399    0.049   -4.000    0.077    0.086   -4.068    0.083    0.090   -4.839    0.165    0.177
 1.0 1.5  11.301    0.049   -3.828    0.078    0.069   -3.946    0.094    0.074   -4.449    0.115    0.119
 1.0 1.5  11.202    0.049   -3.466    0.054    0.055   -3.616    0.059    0.061   -4.000    0.080    0.072
 1.0 1.5  11.104    0.049   -3.249    0.050    0.049   -3.424    0.054    0.050   -3.728    0.063    0.075
 1.0 1.5  11.005    0.049   -3.082    0.041    0.043   -3.290    0.045    0.044   -3.502    0.050    0.050
 1.0 1.5  10.907    0.049   -2.962    0.038    0.039   -3.240    0.046    0.042   -3.286    0.044    0.052
 1.0 1.5  10.809    0.049   -2.852    0.036    0.036   -3.145    0.040    0.042   -3.161    0.039    0.039
 1.0 1.5  10.710    0.049   -2.800    0.034    0.039   -3.148    0.037    0.040   -3.059    0.038    0.046
 1.0 1.5  10.612    0.049   -2.703    0.034    0.035   -3.086    0.036    0.040   -2.934    0.037    0.039
 1.0 1.5  10.513    0.049   -2.680    0.031    0.031   -3.124    0.036    0.037   -2.874    0.033    0.032
 1.0 1.5  10.415    0.049   -2.648    0.029    0.031   -3.156    0.039    0.040   -2.810    0.031    0.032
 1.0 1.5  10.317    0.049   -2.637    0.029    0.031   -3.179    0.039    0.052   -2.783    0.030    0.030
 1.0 1.5  10.218    0.049   -2.602    0.029    0.032   -3.259    0.039    0.044   -2.710    0.030    0.031
 1.0 1.5  10.120    0.049   -2.621    0.028    0.029   -3.357    0.042    0.042   -2.709    0.029    0.029
 1.0 1.5  10.021    0.049   -2.540    0.026    0.028   -3.345    0.044    0.070   -2.614    0.027    0.028
 1.0 1.5   9.923    0.049   -2.505    0.027    0.026   -3.435    0.046    0.046   -2.559    0.027    0.027
 1.0 1.5   9.824    0.049   -2.457    0.028    0.029   -3.442    0.054    0.066   -2.505    0.031    0.029
 1.0 1.5   9.726    0.049   -2.378    0.027    0.029   -3.497    0.056    0.073   -2.412    0.028    0.029
 1.0 1.5   9.628    0.049   -2.369    0.031    0.033   -3.555    0.098    0.105   -2.398    0.031    0.034
 1.0 1.5   9.529    0.049   -2.374    0.054    0.052   -3.709    0.218    0.192   -2.394    0.059    0.061
# 1.5<z<2.0
 1.5 2.0  11.624    0.048   -5.470    0.466    0.395   -5.646    0.433    0.493   -5.947    0.733    0.784
 1.5 2.0  11.527    0.048   -4.717    0.159    0.145   -4.906    0.188    0.218   -5.169    0.267    0.249
 1.5 2.0  11.431    0.048   -4.416    0.125    0.115   -4.625    0.155    0.135   -4.833    0.161    0.169
 1.5 2.0  11.334    0.048   -4.078    0.098    0.082   -4.391    0.122    0.104   -4.368    0.111    0.102
 1.5 2.0  11.238    0.048   -3.733    0.064    0.064   -4.003    0.076    0.080   -4.067    0.091    0.077
 1.5 2.0  11.141    0.048   -3.576    0.059    0.057   -3.898    0.068    0.067   -3.858    0.081    0.074
 1.5 2.0  11.044    0.048   -3.314    0.054    0.053   -3.714    0.081    0.061   -3.534    0.060    0.058
 1.5 2.0  10.948    0.048   -3.158    0.044    0.050   -3.513    0.049    0.070   -3.411    0.047    0.049
 1.5 2.0  10.851    0.048   -3.145    0.045    0.048   -3.555    0.052    0.053   -3.359    0.048    0.053
 1.5 2.0  10.755    0.048   -2.984    0.038    0.041   -3.411    0.042    0.046   -3.187    0.040    0.046
 1.5 2.0  10.658    0.048   -2.954    0.036    0.037   -3.450    0.050    0.044   -3.121    0.037    0.038
 1.5 2.0  10.561    0.048   -2.957    0.035    0.040   -3.478    0.043    0.054   -3.113    0.037    0.039
