# stellar mass function at 0<z<1 from J. Moustakas et al. 2013, ApJ, 767, 50
# 1/Vmax estimate for ALL galaxies
# data in Tables 3 & 4, also Fig.8 (obtained by Michelle Furlong in email from author)
#
# use 170,000 gals at 0.01<z<0.2 from SDSS (GALEX, SDSS, 2MASS & WISE photom)
# and 40,000 gals at 0.2<z<1 with i<23 from PRIMUS survey over 5.5 deg^2 in 5 fields
# (CDFS, ELAIS-X1, SXDS, CFHTLS, COSMOS) (spec-z's, photom includes GALEX & IRAC)
#
# stellar masses from SED fitting using iSEDfit, based on FSPS (Conroy)
# assume SFHs are exp declining + stochastic bursts, range of metallicities, 
# dust attenuation using Charlot & Fall (2000)
# assume Chabrier (2003) IMF from 0.1-100 Msun
#
# assume h100=0.70, omega0=0.30, omegaL=0.70
#
# mass in Msun
# phi is dn/dlog10(m) in Mpc^-3 dex^-1
#
# 1 zlo - lower redshift bound
# 2 zhi - upper redshift bound
# 3 ngal - number of galaxies in bin
# 4 mass - center of stellar mass bin 
# 5 limit - 1=above 95% M/L completeness limit
# 6 phi - number density (log Mpc^-3 dex^-1)
# 7 phierr_lo - lower 1-sigma Poisson uncertainty on PHI (dex)
# 8 phierr_up - upper 1-sigma Poisson uncertainty on PHI (dex)
# 9 phierr_cv - estimated sample variance uncertainty on PHI (dex)
#
# zlo   zhi   ngal  lg(m) lim lg(phi)  err_lo  err_up  err_cv
#
# 0.01<z<0.2
  0.30  0.40   237   9.60  1  -2.2816  0.0297  0.0318  0.1062
  0.30  0.40   263   9.70  1  -2.2579  0.0283  0.0302  0.0945
  0.30  0.40   288   9.80  1  -2.2352  0.0347  0.0376  0.0781
  0.30  0.40   290   9.90  1  -2.2409  0.0274  0.0292  0.0799
  0.30  0.40   327  10.00  1  -2.2083  0.0286  0.0305  0.0312
  0.30  0.40   288  10.10  1  -2.2881  0.0304  0.0326  0.0715
  0.30  0.40   338  10.20  1  -2.2409  0.0243  0.0257  0.0409
  0.30  0.40   341  10.30  1  -2.2334  0.0254  0.0269  0.0175
  0.30  0.40   316  10.40  1  -2.2896  0.0251  0.0266  0.0432
  0.30  0.40   309  10.50  1  -2.2834  0.0253  0.0268  0.0502
  0.30  0.40   278  10.60  1  -2.3325  0.0266  0.0283  0.0819
  0.30  0.40   238  10.70  1  -2.4072  0.0289  0.0309  0.0603
  0.30  0.40   199  10.80  1  -2.4724  0.0316  0.0340  0.0697
  0.30  0.40   150  10.90  1  -2.5788  0.0389  0.0425  0.0828
  0.30  0.40   117  11.00  1  -2.7093  0.0415  0.0457  0.0480
  0.30  0.40    90  11.10  1  -2.8187  0.0469  0.0523  0.0375
  0.30  0.40    46  11.20  1  -3.1092  0.0655  0.0762  0.0587
  0.30  0.40    27  11.30  1  -3.3426  0.0862  0.1053  0.0904
  0.30  0.40    12  11.40  1  -3.5832  0.1294  0.1754  0.0791
  0.30  0.40     3  11.50  1  -4.3353  0.2392  0.4319  0.0444
# 0.4<z<0.5
  0.40  0.50   243   9.60  1  -2.2918  0.0627  0.0725  0.1516
  0.40  0.50   268   9.70  1  -2.3468  0.0294  0.0314  0.1828
  0.40  0.50   311   9.80  1  -2.2886  0.0283  0.0302  0.1384
  0.40  0.50   308   9.90  1  -2.3082  0.0363  0.0395  0.0967
  0.40  0.50   328  10.00  1  -2.3249  0.0267  0.0283  0.0598
  0.40  0.50   342  10.10  1  -2.2534  0.0734  0.0870  0.0230
  0.40  0.50   322  10.20  1  -2.3423  0.0278  0.0296  0.0930
  0.40  0.50   326  10.30  1  -2.3722  0.0253  0.0269  0.0546
  0.40  0.50   357  10.40  1  -2.3268  0.0331  0.0357  0.0263
  0.40  0.50   369  10.50  1  -2.3315  0.0282  0.0300  0.0723
  0.40  0.50   336  10.60  1  -2.3838  0.0259  0.0275  0.0646
  0.40  0.50   331  10.70  1  -2.3599  0.0309  0.0332  0.0486
  0.40  0.50   265  10.80  1  -2.4933  0.0276  0.0294  0.0860
  0.40  0.50   187  10.90  1  -2.6441  0.0361  0.0392  0.0414
  0.40  0.50   159  11.00  1  -2.7344  0.0357  0.0387  0.0576
  0.40  0.50    93  11.10  1  -2.9780  0.0466  0.0519  0.0836
  0.40  0.50    64  11.20  1  -3.1143  0.0574  0.0656  0.1400
  0.40  0.50    30  11.30  1  -3.4625  0.0833  0.1011  0.1298
  0.40  0.50    17  11.40  1  -3.6691  0.1089  0.1405  0.1535
  0.40  0.50     6  11.50  1  -4.1246  0.1784  0.2733  0.0470
  0.40  0.50     4  11.60  1  -4.3543  0.2135  0.3588  0.0908
  0.40  0.50     1  11.70  1  -5.0934  0.3598  0.9934  0.4979
  0.40  0.50     1  11.80  1  -5.0534  0.3598  0.9934  0.4541
# 0.5<z<0.65
  0.50  0.65   459  10.00  1  -2.4192  0.0332  0.0358  0.0737
  0.50  0.65   499  10.10  1  -2.3942  0.0258  0.0274  0.0576
  0.50  0.65   550  10.20  1  -2.3713  0.0213  0.0224  0.0477
  0.50  0.65   550  10.30  1  -2.3882  0.0251  0.0266  0.0363
  0.50  0.65   588  10.40  1  -2.3816  0.0197  0.0206  0.0498
  0.50  0.65   667  10.50  1  -2.3458  0.0193  0.0202  0.0352
  0.50  0.65   614  10.60  1  -2.4081  0.0193  0.0202  0.0313
  0.50  0.65   609  10.70  1  -2.4311  0.0188  0.0196  0.0385
  0.50  0.65   525  10.80  1  -2.5020  0.0202  0.0212  0.0379
  0.50  0.65   428  10.90  1  -2.6020  0.0232  0.0245  0.0307
  0.50  0.65   329  11.00  1  -2.7287  0.0251  0.0265  0.0228
  0.50  0.65   212  11.10  1  -2.9214  0.0309  0.0332  0.0575
  0.50  0.65   139  11.20  1  -3.1175  0.0388  0.0424  0.0654
  0.50  0.65    82  11.30  1  -3.3107  0.0523  0.0590  0.0755
  0.50  0.65    42  11.40  1  -3.6486  0.0706  0.0831  0.0826
  0.50  0.65    23  11.50  1  -3.7966  0.1025  0.1301  0.0939
  0.50  0.65     7  11.60  1  -4.5217  0.1608  0.2355  0.1159
  0.50  0.65     8  11.70  1  -4.2074  0.1638  0.2416  0.1194
# 0.65<z<0.80
  0.65  0.80   593  10.40  1  -2.3875  0.0209  0.0219  0.0466
  0.65  0.80   672  10.50  1  -2.3201  0.0253  0.0269  0.0375
  0.65  0.80   673  10.60  1  -2.3530  0.0306  0.0329  0.0546
  0.65  0.80   673  10.70  1  -2.3869  0.0270  0.0287  0.0533
  0.65  0.80   667  10.80  1  -2.4434  0.0188  0.0196  0.0446
  0.65  0.80   626  10.90  1  -2.4869  0.0216  0.0227  0.0539
  0.65  0.80   473  11.00  1  -2.5994  0.0309  0.0332  0.0525
  0.65  0.80   352  11.10  1  -2.7717  0.0260  0.0276  0.0399
  0.65  0.80   235  11.20  1  -2.9187  0.0388  0.0424  0.0912
  0.65  0.80   133  11.30  1  -3.2331  0.0406  0.0445  0.0652
  0.65  0.80    81  11.40  1  -3.4698  0.0499  0.0560  0.1346
  0.65  0.80    22  11.50  1  -3.9290  0.0967  0.1211  0.1732
  0.65  0.80    11  11.60  1  -4.2207  0.1367  0.1885  0.0883
  0.65  0.80     5  11.70  1  -4.5958  0.2069  0.3416  0.1821
  0.65  0.80     1  11.80  1  -4.9436  0.3598  0.9934  0.4055
  0.65  0.80     1  11.90  1  -4.4841  0.3598  0.9934  0.1408
  0.65  0.80     1  12.00  1  -5.4821  0.4343  0.9934  1.4013
# 0.8<z<1.0
  0.80  1.00   521  10.80  1  -2.5831  0.0264  0.0281  0.0842
  0.80  1.00   517  10.90  1  -2.6581  0.0220  0.0232  0.0520
  0.80  1.00   499  11.00  1  -2.7012  0.0260  0.0276  0.0607
  0.80  1.00   398  11.10  1  -2.8420  0.0265  0.0281  0.0592
  0.80  1.00   274  11.20  1  -3.0386  0.0323  0.0348  0.0365
  0.80  1.00   169  11.30  1  -3.2961  0.0355  0.0385  0.0771
  0.80  1.00   100  11.40  1  -3.4532  0.0677  0.0791  0.0634
  0.80  1.00    50  11.50  1  -3.7656  0.0899  0.1108  0.0839
  0.80  1.00    19  11.60  1  -4.3200  0.1038  0.1322  0.0874
  0.80  1.00    11  11.70  1  -4.4392  0.1545  0.2227  0.1119
  0.80  1.00     3  11.80  1  -5.0689  0.2420  0.4403  0.0879
  0.80  1.00     1  12.00  1  -5.7100  0.3598  0.9934  0.3846
