#log10(Mstar/Msun) log10(phi[Mpc^-3 dex^-1) err_dn err_up
8.75  -3.39 0.64 0.25
9.25  -3.81 0.52 0.24
9.75  -4.35 1.54 0.31
10.25 -4.79 5.0 0.40
10.75 -5.27 5.0 0.54
11.25 -5.61 5.0 0.64
11.75 -5.61 5.0 0.61
