#"log10(Ms/Mh)(log10(Mh/Msun))  created by Plot Digitizer  2.6.8"
#"Date: 21/08/23  12:28:22 PM"
#
#
#16
#log10(Mh/Msun) log10(Ms/Mh)
12.8213 -3.25606 
11.5316 -2.11373 
12.2029 -1.82814 
13.0347 -2.09049 
12.2156 -1.69750 
12.2221 -1.55178 
12.1663 -1.47131 
12.1044 -1.40590 
11.9551 -1.49114 
11.9304 -1.43584 
11.4647 -1.36992 
12.1544 -1.20999 
12.1234 -1.16975 
12.2106 -1.05428 
12.2975 -1.09961 
12.5768 -1.18539 
