#   Mstar      err     Mgas       err    Mbar       err     jstar      err      jgas     err    jbar      err    Rd    rstar   rgas   rbar  
   6.4e+10  1.7e+10   5.0e+09  9.0e+08   7.0e+10  1.7e+10    867.6     63.6   2412.0    131.9    978.5    66.60   2.55   1.00   0.99   1.00  
   8.9e+09  2.4e+09   2.8e+09  4.6e+08   1.2e+10  2.5e+09    530.8     73.6    963.0     62.3    634.5    62.10   2.73   0.91   0.74   0.87  
   3.3e+09  2.2e+09   4.7e+09  2.9e+09   8.0e+09  3.6e+09    296.4    108.1   1756.0    547.8   1148.0   338.00   1.61   0.99   0.39   0.11  
   8.6e+10  2.4e+10   1.6e+10  2.9e+09   1.0e+11  2.4e+10   2347.0    666.9   4786.0    729.4   2752.0   579.50   5.81   1.00   1.00   1.00  
   6.5e+08  1.7e+08   1.5e+08  2.7e+07   8.0e+08  1.7e+08     17.1      9.1     36.7     16.2     20.8     8.10   0.45   0.58   0.98   0.81  
   1.3e+08  3.7e+07   7.2e+08  1.6e+08   8.5e+08  1.6e+08    111.8     35.9    164.3     21.1    156.2    18.80   1.54   0.84   0.86   0.86  
   5.0e+09  1.3e+09   4.2e+09  7.7e+08   9.3e+09  1.5e+09    288.2     24.1   1130.0     71.1    673.9    68.80   1.39   0.99   1.00   1.00  
   3.0e+09  8.3e+08   6.7e+08  1.1e+08   3.7e+09  8.4e+08    272.3     34.7    731.2     42.6    374.5    34.50   1.37   1.00   0.90   0.95  
   9.5e+10  2.6e+10   1.8e+10  2.9e+09   1.1e+11  2.6e+10   3092.0    127.7   6959.0    241.9   3693.0   183.60   3.64   1.01   0.76   0.98  
   4.0e+10  2.6e+10   3.5e+09  2.2e+09   4.3e+10  2.6e+10    630.4    260.0   2178.0    628.5    756.0   246.50   2.33   0.99   0.99   1.01  
   3.1e+08  8.1e+07   2.7e+08  4.9e+07   5.8e+08  9.5e+07     44.9     14.1    450.7     55.1    233.3    39.10   0.55   0.98   0.21   0.18  
   1.2e+09  3.3e+08   1.9e+08  3.1e+07   1.4e+09  3.3e+08     81.7      8.7    102.7      7.1     84.6     7.60   1.01   0.85   0.73   0.83  
   7.9e+10  3.0e+10   2.1e+10  6.9e+09   9.9e+10  3.1e+10   1783.0    415.8   4814.0    758.8   2410.0   391.50   6.20   1.00   0.94   0.99  
   4.1e+10  1.1e+10   2.8e+09  4.5e+08   4.3e+10  1.1e+10   1429.0     10.8   2271.0    130.8   1522.0    18.90   0.29   1.00   0.95   1.00  
   9.8e+07  2.6e+07   5.3e+08  8.3e+07   6.3e+08  8.7e+07    130.7      5.0    207.0      8.9    195.2     8.10   1.56   0.90   0.75   0.77  
   1.9e+10  5.3e+09   1.2e+10  2.1e+09   3.1e+10  5.7e+09    911.2     58.9   3024.0    133.3   1748.0   156.70   3.14   0.99   1.00   1.00  
   4.5e+09  1.2e+09   8.8e+08  1.5e+08   5.4e+09  1.3e+09    511.9     72.6    922.5     63.6    580.3    63.70   2.80   1.00   0.96   1.00  
   2.3e+10  6.3e+09   4.5e+09  7.1e+08   2.8e+10  6.4e+09    947.6     87.2   1847.0    153.0   1092.0    84.50   2.29   1.00   0.86   1.00  
   1.7e+10  4.5e+09   3.2e+09  5.2e+08   2.0e+10  4.6e+09    673.9     57.9   1430.0     93.3    805.3    58.30   1.95   0.99   0.97   1.01  
   4.1e+10  2.7e+10   5.7e+09  3.5e+09   4.6e+10  2.7e+10    722.5    316.6   1948.0    612.3    873.9   290.10   2.40   1.00   0.98   1.00  
   1.5e+10  4.0e+09   1.0e+10  1.6e+09   2.5e+10  4.3e+09    409.3     45.4   1898.0    122.9   1024.0   116.50   1.61   0.99   0.60   0.52  
   4.0e+10  1.1e+10   2.4e+09  3.9e+08   4.3e+10  1.1e+10    868.8     90.4   1064.0     64.5    879.8    85.40   2.71   0.96   0.94   0.96  
   3.6e+10  1.3e+10   9.4e+09  3.0e+09   4.5e+10  1.4e+10   1190.0    170.5   2131.0    335.6   1386.0   158.20   3.40   1.00   0.98   1.00  
   1.3e+07  3.4e+06   1.4e+08  2.5e+07   1.5e+08  2.5e+07    0          0       91.9      8.8    0           0    0.20    0     0.99    0     
   8.3e+09  3.0e+09   6.7e+09  2.1e+09   1.5e+10  3.7e+09    507.3    126.6   1743.0    261.8   1057.0   161.20   3.38   1.00   0.84   0.91  
   3.3e+10  1.2e+10   1.6e+09  5.0e+08   3.5e+10  1.2e+10    891.8    124.3   1084.0    159.7    900.5   118.90   2.53   0.97   0.91   0.96  
   2.8e+10  1.0e+10   6.6e+09  2.1e+09   3.5e+10  1.0e+10    890.6    125.2   1756.0    245.4   1055.0   117.80   2.38   1.00   0.68   0.99  
   1.1e+10  4.0e+09   2.2e+09  7.0e+08   1.3e+10  4.0e+09    706.9    103.3   1128.0    165.2    778.5    91.80   2.63   1.00   0.92   1.00  
   1.5e+10  5.4e+09   2.5e+09  7.9e+08   1.7e+10  5.5e+09    484.4    185.6    739.0    113.0    520.9   160.00   3.59   0.94   0.53   0.89  
   6.0e+10  2.2e+10   3.0e+09  9.4e+08   6.3e+10  2.2e+10   1674.0    309.4   2370.0    329.1   1707.0   295.30   4.89   0.98   0.92   0.98  
   6.6e+09  2.4e+09   1.3e+09  4.0e+08   7.9e+09  2.5e+09    453.3     84.2    643.1    100.5    483.6    72.90   2.18   0.95   0.85   0.93  
   9.5e+10  2.9e+10   2.5e+10  6.2e+09   1.2e+11  3.0e+10   4097.0    247.8   6072.0    556.6   4513.0   246.20   4.96   1.00   0.98   1.00  
   7.8e+09  2.9e+09   2.3e+09  7.2e+08   1.0e+10  3.0e+09    462.7    104.2    718.1    111.8    520.1    85.50   2.81   0.95   0.94   0.94  
   3.2e+10  1.2e+10   4.2e+09  1.3e+09   3.6e+10  1.2e+10   1401.0    175.3   2527.0    316.9   1533.0   162.50   3.53   0.99   0.96   1.01  
   3.1e+10  1.2e+10   2.8e+09  8.8e+08   3.4e+10  1.2e+10    922.0    228.8   1232.0    192.8    947.4   210.80   4.65   0.96   0.89   0.95  
   1.0e+10  3.8e+09   8.6e+08  2.7e+08   1.1e+10  3.8e+09    319.6     64.1    498.4     73.7    333.4    59.60   1.65   0.99   0.69   0.98  
   5.3e+10  1.9e+10   9.5e+09  3.0e+09   6.2e+10  1.9e+10    945.4    130.5   1873.0    270.1   1088.0   122.80   2.58   1.00   0.90   1.00  
   2.7e+10  1.0e+10   4.1e+09  1.3e+09   3.1e+10  1.0e+10   1089.0     99.3   2103.0    260.1   1221.0    98.30   2.15   1.00   1.00   1.00  
   1.4e+10  5.3e+09   1.7e+09  5.4e+08   1.6e+10  5.3e+09    765.8     78.5   1600.0    242.1    854.3    78.00   1.51   0.99   0.52   1.00  
   5.1e+10  1.9e+10   1.0e+10  3.3e+09   6.2e+10  1.9e+10   1026.0    126.9   2483.0    355.9   1275.0   134.80   2.32   0.99   0.99   1.00  
   5.4e+09  2.0e+09   4.6e+09  1.4e+09   9.9e+09  2.4e+09    588.0     93.6   1053.0    159.3    800.7    94.70   2.79   1.00   0.93   0.96  
   5.0e+07  1.4e+07   4.4e+07  7.5e+06   9.4e+07  1.6e+07     12.9      3.7     21.2      2.7     16.8     2.40   0.28   0.98   0.95   0.97  
   5.6e+10  2.1e+10   3.0e+09  9.3e+08   5.9e+10  2.1e+10    363.4    154.9   1630.0    231.7    426.7   148.60   2.94   1.00   0.22   1.00  
   2.1e+09  5.8e+08   6.6e+08  1.1e+08   2.7e+09  5.9e+08    706.3    133.8    881.7     44.4    748.6   102.50   5.98   0.79   0.51   0.74  
   4.5e+10  1.2e+10   6.0e+09  9.3e+08   5.1e+10  1.2e+10   1621.0    150.0   3335.0     93.1   1820.0   142.00   5.96   0.96   0.99   0.98  
   9.4e+09  3.4e+09   4.3e+08  1.4e+08   9.8e+09  3.5e+09    197.3    100.4    288.3     57.8    201.3    96.10   2.79   0.89   0.18   0.87  
   6.9e+10  1.9e+10   1.3e+09  2.2e+08   7.0e+10  1.9e+10    873.2     71.8   2610.0    167.0    866.0    71.20   1.88   1.01   0.16   1.01  
   4.2e+10  1.2e+10   4.8e+09  8.4e+08   4.6e+10  1.2e+10   1431.0    172.4   2168.0    240.4   1506.0   157.90   3.49   0.98   0.95   0.98  
   2.1e+10  5.9e+09   4.1e+09  7.0e+08   2.5e+10  5.9e+09    984.9     79.0   1586.0     79.7   1082.0    71.30   2.89   0.98   0.92   0.97  
   2.2e+09  6.3e+08   5.6e+07  9.8e+06   2.3e+09  6.3e+08    112.6     20.1    135.7      9.5    113.2    19.60   0.84   0.84   0.41   0.84  
   1.7e+10  4.5e+09   1.7e+09  2.8e+08   1.8e+10  4.5e+09    830.3     47.7   1394.0     70.2    882.7    45.80   1.68   0.99   0.90   0.97  
   5.2e+10  1.4e+10   3.5e+09  5.9e+08   5.6e+10  1.4e+10   1914.0    160.2   3568.0    269.9   2019.0   153.60   3.39   1.00   0.98   1.00  
   7.4e+10  2.0e+10   1.4e+10  2.3e+09   8.8e+10  2.0e+10   1174.0     97.4   5017.0    407.1   1789.0   180.00   3.20   0.99   0.16   0.35  
   1.1e+10  3.1e+09   2.3e+09  3.7e+08   1.4e+10  3.1e+09    757.4     77.4   1022.0     82.8    801.5    66.80   2.63   0.97   0.93   0.96  
   3.3e+10  2.2e+10   8.2e+09  5.1e+09   4.1e+10  2.2e+10    764.5    239.2   1840.0    536.0    978.7   224.60   2.44   1.00   0.91   1.00  
   4.9e+10  1.3e+10   2.3e+10  3.8e+09   7.1e+10  1.4e+10   1875.0    127.2   3329.0    146.3   2339.0   133.00   5.02   1.00   0.12   0.91  
