#redshift log10(CSFH[Msun/yr/cMpc^3]) err
6.450 5.5 7.5 -1.707   0.13
8.231 7.5 9.5 -1.809  0.335 
10.126 9.5 11.5 -2.451  0.387
12.583 11.5 13.5 -2.596  0.674 
