#"log(rho_h2)(redshift)  created by Plot Digitizer  2.6.8"
#"Date: 1/08/22  4:03:26 PM"
#
#
#30
#redshift log(rho_h2)
#redshift_mid  redshift_dn redshift_up log10(rho_h2_mid) log10(rho_h2_dn) log10(rho_h2_up)
0.465116 0.294118 0.574555 7.16423 6.78321 7.55839
0.813953 0.622435 1.02599  7.37883 7.09416 7.67664
1.30643  1.00547  1.60739  7.68540  7.60657 7.78613
1.94938  1.62107  2.29138  7.50146  7.40949 7.60657
2.76334  2.29822  3.20793  7.61533  7.52774 7.70730
3.85773  3.21477  4.50068  7.24745  6.90146 7.60657
