#csfrd err_up err_down redshift z_err_up z_err_down
-2.08370706373446 0.063011405043519 0.0495562490068283 0.05268 0.0377734778375071 0.0377734778375071
-1.97159497677291 0.0609579360992872 0.0507913784316924 0.12181 0.0422972636701852 0.0422972636701852
-1.84628377704621 0.0654947749372005 0.0571609526534003 0.20543 0.047893524430808 0.047893524430808
-1.76466547364421 0.0593300274682235 0.0478453863436105 0.30368 0.0549800049837731 0.0549800049837731
-1.54590886867282 0.0496599738225571 0.0541304812964004 0.4195 0.064202838544006 0.064202838544006
-1.31423612443224 0.14064116093598 0.0836481074253375 0.5635 0.0766065973756485 0.0766065973756485
-1.274569970101 0.0833224549969761 0.0663422873113812 0.7386 0.0939758293596052 0.0939758293596052
-1.20339511991966 0.0959155197938208 0.0816587651122179 0.945 0.119582633151254 0.119582633151254
-1.10334931173127 0.0865578587056739 0.0683973637036557 1.2153 0.16001669766894 0.16001669766894
-1.10969316107826 0.0832578430884742 0.0727561032833978 1.6192 0.230404602961917 0.230404602961917
-1.12034092543064 0.0859963757234891 0.0651591405701249 2.1459 0.373047969988109 0.373047969988109
-1.30546189381458 0.0685041982897922 0.0610875791991296 3.0972 0.754626052538902 0.754626052538902
-1.84855230420271 0.104732885899526 0.0828715406364313 4.7052 0.821927175899732 0.821927175899732
