#in units of 10^10Msun
#L-galaxies  Henriques+15
#snap, redshift,  sum(coldGas),              sum(stellarMass),              sum(hotGas),              sum(ejectedMass)
       7        15.343074      0.3553150277584791 0.1843864694237709 2.882343217730522 1.508897639811039
       8        14.085914      7.618221553973854 1.5821382580325007 29.915952414274216 10.982638230547309
       9        12.940780      42.44937046151608 10.605523243546486 168.77236151881516 89.89992194343358
      10        11.896570      215.19234726927243 52.87189291790128 792.6761056128889 515.3035144670866
      11        10.943864      891.9834635817679 214.89601710624993 3114.4910116976826 2304.419726862572
      12        10.073461      2931.078472410096 705.6384199112654 9668.289089255331 8085.417443952523
      13        9.277915       7856.297074048605 1935.8384773693979 25007.496613545998 23307.82088558888
      14        8.549913       18101.208611032052 4587.57360781543 56465.760637869214 57264.76375589217
      15        7.883204       36798.38223997963 9630.11266458407 113531.49352017808 122551.80339243857
      16        7.272188       67378.64676075519 18335.353715499863 208640.09070836965 235306.70197663177
      17        6.711587       112129.7771328694 32014.512283628806 349123.55591155554 409255.9418647444
      18        6.196833       172995.39731664694 52021.7514982624 549774.2178494955 653493.015127664
      19        5.723864       251791.19153602424 79792.84160269517 825884.1230357329 971682.2657840424
      20        5.288834       350564.45769516035 116836.42583621666 1190561.343080325 1364676.0427120258
      21        4.888449       470532.4360951382 164741.92046399228 1656358.904790851 1825227.2950690547
      22        4.519556       611368.6485518076 224917.2960158661 2233416.0930707543 2342609.6659084
      23        4.179469       772863.9447334663 298813.1168728806 2927803.0240516365 2900114.030693173
      24        3.865683       951725.1645175372 387493.3687571306 3740305.2233558786 3478963.8295813897
      25        3.575905       1144822.2818635544 491491.0288393637 4675024.410992235 4062024.360391528
      26        3.308098       1346105.6868185264 610823.8048544005 5730956.718022988 4630310.667313585
      27        3.060419       1550975.1796951182 745362.8505924037 6896315.016335692 5172260.0323457625
      28        2.831183       1751388.8767361972 893381.8658284489 8174527.375223921 5677966.255050063
      29        2.618862       1942399.0078110737 1053704.8059664685 9548216.68707826 6142267.243330416
      30        2.422044       2118544.6554596927 1224324.263681382 1.1003417931953209E7 6562905.985442135
      31        2.239485       2274736.976670082 1402726.7902054628 1.2517383877821073E7 6936512.6553191785
      32        2.070027       2408687.765582759 1586322.5384159023 1.4093840311360272E7 7267471.296613377
      33        1.912633       2518343.85516097 1773170.1055641612 1.570280516872821E7 7555254.338607435
      34        1.766336       2604839.3495086357 1960443.8643482113 1.73303864230346E7 7802200.826261386
      35        1.630271       2668263.5971957636 2146116.913497054 1.8970623568997372E7 8012032.216381459
      36        1.503637       2710482.5081674145 2328173.29587157 2.0602435346775524E7 8183488.2960212
      37        1.385718       2734466.6100826305 2506650.149844859 2.220929550759247E7 8327445.372628413
      38        1.275846       2740697.285442194 2678205.819622649 2.378557691234511E7 8443465.971590549
      39        1.173417       2735534.436854234 2843649.5572445197 2.532323069719669E7 8532912.572929107
      40        1.077875       2716884.8305964353 3000670.0823555877 2.681094502076495E7 8599632.93374182
      41        0.988708       2691230.74473208 3149606.3664879818 2.8250878013483528E7 8641774.312015282
      42        0.905462       2658189.1743850103 3290685.5243435604 2.960763841230532E7 8664599.326755073
      43        0.827699       2620793.496905027 3422319.2505830415 3.090202154562314E7 8670492.557064433
      44        0.755036       2578458.253746189 3546938.5932708 3.2132058462913536E7 8664091.789010774
      45        0.687109       2535354.0271526403 3661591.956258335 3.3281865312987216E7 8644597.906297531
      46        0.623590       2490241.4883619673 3769544.0715817213 3.437133863657475E7 8613383.403480994
      47        0.564177       2445515.8542202488 3867496.4853699105 3.538410942200394E7 8570039.571194299
      48        0.508591       2401100.117508209 3959681.1907060714 3.632512795880433E7 8523409.070146045
      49        0.456577       2357660.380776137 4044510.2686764197 3.719520091243103E7 8471718.701094983
      50        0.407899       2315986.0939295823 4122474.999285844 3.8015479152038425E7 8414900.512799818
      51        0.362340       2275865.515776038 4194591.216825116 3.876563782559903E7 8351850.514087193
      52        0.319703       2237647.2615132555 4259305.359160203 3.9468028289304376E7 8288535.29555509
      53        0.279802       2201061.955235613 4318536.588864771 4.011122186433777E7 8223239.515061109
      54        0.242469       2167148.020019069 4373261.992867868 4.070550123335055E7 8155996.326850004
      55        0.207549       2135999.969946634 4421179.203426863 4.125176188703086E7 8090355.727459729
      56        0.174898       2106565.79672097 4464441.862216015 4.175171104836384E7 8027285.856603602
      57        0.144383       2079133.4172851655 4505387.5034822775 4.221131395193252E7 7963294.94836458
      58        0.115883       2054295.31307207 4540092.6255319575 4.262881364972475E7 7902127.632782612
      59        0.089288       2030764.4560132762 4571548.59998385 4.3011888237796776E7 7844121.426161858
      60        0.064493       2008847.1077994057 4600257.369736348 4.337248014475517E7 7787000.378130261
      61        0.041403       1988796.1276253262 4625217.6629374875 4.3699799309522055E7 7733569.802541487
      62        0.019933       1970795.9323664547 4647605.491332574 4.400771766075108E7 7680844.767986545
      63        0.000000       1959650.2964780435 4683683.384023015 4.4304960707719296E7 7645570.894359562
